[graph] 63905 segments Overture
[graph] 73034 arêtes, 61085 nœuds (34804 segments exclus)
[route] plus court chemin : 7415 m, pente max 9.3%
[route] palier +96% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3093 plus courts chemins]
[route] palier +97% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3125 plus courts chemins]
[route] palier +98% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3157 plus courts chemins]
[route] palier +99% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3189 plus courts chemins]
[route] palier +100% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3221 plus courts chemins]
[route] palier +101% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3253 plus courts chemins]
[route] palier +102% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3285 plus courts chemins]
[route] palier +103% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3317 plus courts chemins]
[route] palier +104% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3349 plus courts chemins]
[route] palier +105% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3381 plus courts chemins]
[route] palier +106% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3413 plus courts chemins]
[route] palier +107% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3445 plus courts chemins]
[route] palier +108% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3477 plus courts chemins]
[route] palier +109% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3509 plus courts chemins]
[route] palier +110% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3541 plus courts chemins]
[route] palier +111% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3573 plus courts chemins]
[route] palier +112% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3605 plus courts chemins]
[route] palier +113% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3637 plus courts chemins]
[route] palier +114% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3669 plus courts chemins]
[route] palier +115% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3701 plus courts chemins]
